inadimplente,util_linhas_inseguras,idade,vezes_passou_de_30_59_dias,razao_debito,salario_mensal,numero_linhas_crdto_aberto,numero_vezes_passou_90_dias,numero_emprestimos_imobiliarios,numero_de_vezes_que_passou_60_89_dias,numero_de_dependentes
0,0.9571510190000001,40,0,0.12187620099999999,2600.0,4,0,0,0,1.0
0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0
0,0.23380977600000002,30,0,0.036049682,3300.0,5,0,0,0,0.0
0,0.21317868199999998,74,0,0.375606969,3500.0,3,0,1,0,1.0
0,0.754463648,39,0,0.20994001699999998,3500.0,8,0,0,0,0.0
0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0
0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0
0,0.010351856999999999,46,0,0.298354075,12454.0,13,0,2,0,2.0
1,0.964672555,40,3,0.3829647470000001,13700.0,9,3,1,1,2.0
0,0.548458062,64,0,0.20989175399999999,11362.0,7,0,1,0,2.0
0,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0
0,0.22181277100000002,43,0,0.527887839,3280.0,7,0,1,0,2.0
0,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0
0,0.20092338199999998,43,0,0.430046338,12300.0,10,0,2,0,0.0
1,0.025655677,38,0,0.47584138600000003,3000.0,7,0,1,0,2.0
0,0.9999998999999999,39,0,0.241103559,2500.0,4,0,0,0,0.0
0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0
0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0
0,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0
0,0.45251582799999995,24,0,0.011761246999999999,3400.0,1,0,0,0,0.0
0,0.39299458600000003,58,2,0.436102527,5500.0,15,0,1,0,0.0
0,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0
0,0.9999998999999999,24,0,0.472703063,750.0,1,0,0,0,0.0
0,0.18686855600000002,57,0,0.313812313,7000.0,9,0,2,0,0.0
0,0.6933296809999999,42,2,0.257731959,2230.0,7,0,0,0,0.0
